man.source,variable,mean_overall,med_overall,n_obs,n_country,s_overall,s_overall_md
pig,man.ph,7.6,7.5,761,9,0.34,0.33
cat,man.ph,7.5,7.3,1382,12,0.45,0.44
pig,man.dm,4.8,3.9,870,10,1.72,1.82
cat,man.dm,6.3,5.8,1536,12,1.4,1.45
pig,app.rate,37.4,32.1,873,10,17.76,13.42
cat,app.rate,48.2,38,1536,12,19.75,16.61
pig,air.temp.24,13,12.8,776,10,2.77,3.04
cat,air.temp.24,13.5,14,1422,12,3.02,3.79
pig,wind.24,2.4,1.6,770,9,1.44,1.6
cat,wind.24,2.1,2.1,1454,12,0.91,0.85
cat,rain.rate.24,0.1,0,1277,12,0.16,0.16
pig,rain.rate.24,0.1,0,672,9,0.12,0.12
