"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
1971,1975,39970,5,1,2019-05-27 10:22:00,2019-05-27 12:21:00,"27-05-2019 10:22","27-05-2019 10:22",1.98,1.98,-0.00333,1.98,0.99,1.98,0,NA,0.496,"kg N/ha-hr",NA,NA,NA,NA,NA,3.51,0.0334,6.95,6.95,0.0662,22.4,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,".",""
1971,1975,39971,6,2,2019-05-27 12:21:00,2019-05-27 16:23:00,"27-05-2019 12:21","27-05-2019 12:21",4.03,4.03,-0.00333,6.01,4,6.02,1.98,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,2.48,0.0236,10,17,0.161,24.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39972,7,3,2019-05-27 16:23:00,2019-05-28 08:30:00,"27-05-2019 16:23","27-05-2019 16:23",16.1,16.1,0.00333,22.1,14.1,22.1,6.02,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.524,0.00499,8.45,25.4,0.242,17.1,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39973,8,4,2019-05-28 08:30:00,2019-05-28 14:41:00,"28-05-2019 08:30","28-05-2019 08:30",6.18,6.18,-0.00333,28.3,25.2,28.3,22.1,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.377,0.00359,2.33,27.7,0.264,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39974,9,5,2019-05-28 14:41:00,2019-05-29 08:17:00,"28-05-2019 14:41","28-05-2019 14:41",17.6,17.6,0,45.9,37.1,45.9,28.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.298,0.00284,5.25,33,0.314,16.3,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39975,10,6,2019-05-29 08:17:00,2019-05-29 14:58:00,"29-05-2019 08:17","29-05-2019 08:17",6.68,6.68,-0.00333,52.6,49.2,52.6,45.9,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.271,0.00258,1.81,34.8,0.331,18.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39976,11,7,2019-05-29 14:58:00,2019-05-30 08:39:00,"29-05-2019 14:58","29-05-2019 14:58",17.7,17.7,-0.00333,70.3,61.4,70.3,52.6,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.189,0.0018,3.34,38.1,0.363,17,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39977,12,8,2019-05-30 08:39:00,2019-05-30 14:38:00,"30-05-2019 08:39","30-05-2019 08:39",5.98,5.98,-0.00333,76.2,73.3,76.3,70.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.218,0.00208,1.3,39.4,0.376,21.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1971,1975,39978,13,9,2019-05-30 14:38:00,2019-05-31 08:19:00,"30-05-2019 14:38","30-05-2019 14:38",18,17.7,0.297,94.2,85.2,94,76.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.182,0.00174,3.28,42.7,0.407,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39979,14,1,2019-05-27 10:22:00,2019-05-27 12:21:00,"27-05-2019 10:22","27-05-2019 10:22",1.98,1.98,-0.00333,1.98,0.99,1.98,0,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,2.51,0.0329,4.96,4.96,0.0651,22.4,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39980,15,2,2019-05-27 12:21:00,2019-05-27 16:23:00,"27-05-2019 12:21","27-05-2019 12:21",4.03,4.03,-0.00333,6.01,4,6.02,1.98,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.815,0.0107,3.28,8.25,0.108,24.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39981,16,3,2019-05-27 16:23:00,2019-05-28 08:30:00,"27-05-2019 16:23","27-05-2019 16:23",16.1,16.1,0.00333,22.1,14.1,22.1,6.02,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.187,0.00245,3.01,11.3,0.148,17.1,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39982,17,4,2019-05-28 08:30:00,2019-05-28 14:41:00,"28-05-2019 08:30","28-05-2019 08:30",6.18,6.18,-0.00333,28.3,25.2,28.3,22.1,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0,0,0,11.3,0.148,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39983,18,5,2019-05-28 14:41:00,2019-05-29 08:17:00,"28-05-2019 14:41","28-05-2019 14:41",17.6,17.6,0,45.9,37.1,45.9,28.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.0616,0.000807,1.08,12.3,0.162,16.3,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39984,19,6,2019-05-29 08:17:00,2019-05-29 14:58:00,"29-05-2019 08:17","29-05-2019 08:17",6.68,6.68,-0.00333,52.6,49.2,52.6,45.9,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0,0,0,12.3,0.162,18.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39985,20,7,2019-05-29 14:58:00,2019-05-30 08:39:00,"29-05-2019 14:58","29-05-2019 14:58",17.7,17.7,-0.00333,70.3,61.4,70.3,52.6,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.106,0.00139,1.87,14.2,0.186,17,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39986,21,8,2019-05-30 08:39:00,2019-05-30 14:38:00,"30-05-2019 08:39","30-05-2019 08:39",5.98,5.98,-0.00333,76.2,73.3,76.3,70.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,1.01,0.0133,6.05,20.3,0.266,21.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1972,1976,39987,22,9,2019-05-30 14:38:00,2019-05-31 08:19:00,"30-05-2019 14:38","30-05-2019 14:38",18,17.7,0.297,94.2,85.2,94,76.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.161,0.00212,2.9,23.2,0.304,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39988,23,1,2019-05-27 10:22:00,2019-05-27 12:21:00,"27-05-2019 10:22","27-05-2019 10:22",1.98,1.98,-0.00333,1.98,0.99,1.98,0,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,2.56,0.0236,5.06,5.06,0.0467,22.4,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39989,24,2,2019-05-27 12:21:00,2019-05-27 16:23:00,"27-05-2019 12:21","27-05-2019 12:21",4.03,4.03,-0.00333,6.01,4,6.02,1.98,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,2.25,0.0207,9.05,14.1,0.13,24.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39990,25,3,2019-05-27 16:23:00,2019-05-28 08:30:00,"27-05-2019 16:23","27-05-2019 16:23",16.1,16.1,0.00333,22.1,14.1,22.1,6.02,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.766,0.00706,12.4,26.5,0.244,17.1,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39991,26,4,2019-05-28 08:30:00,2019-05-28 14:41:00,"28-05-2019 08:30","28-05-2019 08:30",6.18,6.18,-0.00333,28.3,25.2,28.3,22.1,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.418,0.00385,2.58,29.1,0.268,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39992,27,5,2019-05-28 14:41:00,2019-05-29 08:17:00,"28-05-2019 14:41","28-05-2019 14:41",17.6,17.6,0,45.9,37.1,45.9,28.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.186,0.00172,3.28,32.3,0.298,16.3,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39993,28,6,2019-05-29 08:17:00,2019-05-29 14:58:00,"29-05-2019 08:17","29-05-2019 08:17",6.68,6.68,-0.00333,52.6,49.2,52.6,45.9,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.215,0.00198,1.43,33.8,0.311,18.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39994,29,7,2019-05-29 14:58:00,2019-05-30 08:39:00,"29-05-2019 14:58","29-05-2019 14:58",17.7,17.7,-0.00333,70.3,61.4,70.3,52.6,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.125,0.00115,2.21,36,0.332,17,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39995,30,8,2019-05-30 08:39:00,2019-05-30 14:38:00,"30-05-2019 08:39","30-05-2019 08:39",5.98,5.98,-0.00333,76.2,73.3,76.3,70.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.202,0.00186,1.21,37.2,0.343,21.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1973,1977,39996,31,9,2019-05-30 14:38:00,2019-05-31 08:19:00,"30-05-2019 14:38","30-05-2019 14:38",18,17.7,0.297,94.2,85.2,94,76.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.252,0.00233,4.54,41.7,0.385,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,39997,32,1,2019-05-27 10:22:00,2019-05-27 12:21:00,"27-05-2019 10:22","27-05-2019 10:22",1.98,1.98,-0.00333,1.98,0.99,1.98,0,NA,0.424,"kg N/ha-hr",NA,NA,NA,NA,NA,5.75,0.0522,11.4,11.4,0.103,22.4,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,39998,33,2,2019-05-27 12:21:00,2019-05-27 16:23:00,"27-05-2019 12:21","27-05-2019 12:21",4.03,4.03,-0.00333,6.01,4,6.02,1.98,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,2.6,0.0236,10.5,21.9,0.198,24.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,39999,34,3,2019-05-27 16:23:00,2019-05-28 08:30:00,"27-05-2019 16:23","27-05-2019 16:23",16.1,16.1,0.00333,22.1,14.1,22.1,6.02,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.371,0.00337,5.98,27.9,0.253,17.1,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,40000,35,4,2019-05-28 08:30:00,2019-05-28 14:41:00,"28-05-2019 08:30","28-05-2019 08:30",6.18,6.18,-0.00333,28.3,25.2,28.3,22.1,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.23,0.00209,1.42,29.3,0.266,17.5,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,40001,36,5,2019-05-28 14:41:00,2019-05-29 08:17:00,"28-05-2019 14:41","28-05-2019 14:41",17.6,17.6,0,45.9,37.1,45.9,28.3,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.155,0.0014,2.72,32,0.29,16.3,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,40002,37,6,2019-05-29 08:17:00,2019-05-29 14:58:00,"29-05-2019 08:17","29-05-2019 08:17",6.68,6.68,-0.00333,52.6,49.2,52.6,45.9,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0,0,0,32,0.29,18.9,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
1974,1978,40003,38,7,2019-05-29 14:58:00,2019-05-30 08:39:00,"29-05-2019 14:58","29-05-2019 14:58",17.7,17.7,-0.00333,70.3,61.4,70.3,52.6,NA,0,"kg N/ha-hr",NA,NA,NA,NA,NA,0.0755,0.000685,1.33,33.3,0.302,17,NA,NA,NA,NA,1,NA,NA,"2",NA,NA,NA,0,0,0,NA,NA,""
