"institute","cpmid","pub.id","proj","exper","field","plot","rep","plot.area","lat","long","country","topo","clay","silt","sand","oc","soil.type","soil.water","soil.water.v","soil.moist","soil.ph","soil.dens","crop.res","till","man.source","man.source.det","man.bed","man.con","man.trt1","man.trt2","man.stor","man.dm","man.vs","man.tkn","man.tan","man.tic","man.ua","man.vfa","man.ph","app.start","app.end","app.method","app.rate","app.rate.unit","incorp","time.incorp","man.area","dist.inj","furrow.z","furrow.w","crop","crop.z","crop.area","lai","notes.plot","row.in.file.plot","man.trt3","uptake","file","treat","meas.tech","meas.tech.det","app.start.orig","app.end.orig","cpid","ceid","flag.plot","submitter","tan.app","e.1","e.4","e.6","e.12","e.24","e.48","e.72","e.96","e.168","e.final","e.tot","e.cum.1","e.cum.4","e.cum.6","e.cum.12","e.cum.24","e.cum.48","e.cum.72","e.cum.96","e.cum.168","e.cum.final","e.cum.tot","e.rel.1","e.rel.4","e.rel.6","e.rel.12","e.rel.24","e.rel.48","e.rel.72","e.rel.96","e.rel.168","e.rel.final","e.rel.tot","rain.1","rain.4","rain.6","rain.12","rain.24","rain.48","rain.72","rain.96","rain.168","rain.final","rain.tot","air.temp.1","air.temp.4","air.temp.6","air.temp.12","air.temp.24","air.temp.48","air.temp.72","air.temp.96","air.temp.168","air.temp.mn","soil.temp.1","soil.temp.4","soil.temp.6","soil.temp.12","soil.temp.24","soil.temp.48","soil.temp.72","soil.temp.96","soil.temp.168","soil.temp.mn","soil.temp.surf.1","soil.temp.surf.4","soil.temp.surf.6","soil.temp.surf.12","soil.temp.surf.24","soil.temp.surf.48","soil.temp.surf.72","soil.temp.surf.96","soil.temp.surf.168","soil.temp.surf.mn","wind.1","wind.4","wind.6","wind.12","wind.24","wind.48","wind.72","wind.96","wind.168","wind.mn","wind.2m.1","wind.2m.4","wind.2m.6","wind.2m.12","wind.2m.24","wind.2m.48","wind.2m.72","wind.2m.96","wind.2m.168","wind.2m.mn","rad.1","rad.4","rad.6","rad.12","rad.24","rad.48","rad.72","rad.96","rad.168","rad.mn","rain.rate.1","rain.rate.4","rain.rate.6","rain.rate.12","rain.rate.24","rain.rate.48","rain.rate.72","rain.rate.96","rain.rate.168","rain.rate.mn","rh.1","rh.4","rh.6","rh.12","rh.24","rh.48","rh.72","rh.96","rh.168","rh.mn","first.row.in.file.int","last.row.in.file.int","n.ints","dt1","j.rel1","j.NH31","dt.min","dt.max","ct.min","ct.max","t.start.p","t.end.p","air.temp.z","soil.temp.z","wind.z","wind.loc","far.loc","pub.info","soil.type2","exper2","rep2","acid","meas.tech.orig","meas.tech2","crop.orig","man.source.orig","app.method.orig","app.method2","incorp.orig","date.start","flag.int","inst","eid","pid","pmid"
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:1.T:Bomech.R:1.R2:.T:2020-03-06 14:41:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","1",1,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.66,2020-03-06 14:41:00,2020-03-06 14:41:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,".",5,"None",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","Bomech","Wind tunnel",NA,"6/3/2020 14:41","6/3/2020 14:41","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:1.T:Bomech.R:1.R2:.T:2020-03-06 14:41:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,18.8,22,26.8,31.7,36.3,38.7,40.7,NA,41.4,41.4,NA,18.8,22,26.8,31.7,36.3,38.7,40.7,NA,41.4,41.4,NA,0.31,0.362,0.441,0.521,0.597,0.637,0.67,NA,0.682,0.682,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.8,21.5,18,14.7,13.4,12.6,12.3,12.1,12.1,NA,23.1,21.5,19.2,16.8,15.3,14.8,14.5,14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,69,65,1.73,0.11,6.65,1.6,1.73,1.73,112,2020-06-03 14:41:00,2020-06-08 05:29:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-03,"m i",205,372,2182,2186
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:10.T:Bomech.R:3.R2:.T:2020-03-06 15:53:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","10",3,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.66,2020-03-06 15:53:00,2020-03-06 15:53:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,12,"None",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","Bomech","Wind tunnel",NA,"6/3/2020 15:53","6/3/2020 15:53","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:10.T:Bomech.R:3.R2:.T:2020-03-06 15:53:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,11.8,15,21.1,27.4,32.5,34.7,36.7,NA,37.5,37.5,NA,11.8,15,21.1,27.4,32.5,34.7,36.7,NA,37.5,37.5,NA,0.195,0.247,0.347,0.451,0.535,0.571,0.604,NA,0.618,0.618,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.6,19.6,16.9,14.1,13.1,12.3,12.2,11.9,11.9,NA,18.8,18.4,17.5,16,14.9,14.6,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,460,524,65,1.73,0.0642,3.9,1.6,1.73,1.73,112,2020-06-03 15:53:00,2020-06-08 06:41:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-03,"m i",205,372,2183,2187
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:12.T:BomechAcid.R:3.R2:.T:2020-03-06 16:09:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","12",3,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.3,2020-03-06 16:09:00,2020-03-06 16:09:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,13,"Acidification",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","BomechAcid","Wind tunnel",NA,"6/3/2020 16:09","6/3/2020 16:09","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:12.T:BomechAcid.R:3.R2:.T:2020-03-06 16:09:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,9.79,12.7,17.8,23.2,27.1,29.1,30.8,NA,31.5,31.5,NA,9.79,12.7,17.8,23.2,27.1,29.1,30.8,NA,31.5,31.5,NA,0.161,0.208,0.294,0.382,0.446,0.479,0.507,NA,0.519,0.519,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.4,19.3,16.7,14.1,13.1,12.4,12.2,11.9,11.9,NA,18.7,18.3,17.4,15.9,14.9,14.5,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,589,65,1.73,0.0504,3.06,1.6,1.73,1.73,112,2020-06-03 16:09:00,2020-06-08 06:57:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,TRUE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-03,"m i",205,372,2184,2188
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:2.T:BomechAcid.R:1.R2:.T:2020-03-06 14:49:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","2",1,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.3,2020-03-06 14:49:00,2020-03-06 14:49:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,6,"Acidification",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","BomechAcid","Wind tunnel",NA,"6/3/2020 14:49","6/3/2020 14:49","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:2.T:BomechAcid.R:1.R2:.T:2020-03-06 14:49:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,13.3,16.2,20.8,25.3,29.1,31.3,33.2,NA,33.9,33.9,NA,13.3,16.2,20.8,25.3,29.1,31.3,33.2,NA,33.9,33.9,NA,0.219,0.267,0.343,0.416,0.48,0.516,0.546,NA,0.558,0.558,NA,0,0,0,0,0,0,0,NA,0,0,NA,22,21.3,17.9,14.7,13.4,12.6,12.3,12.1,12.1,NA,23.5,21.8,19.3,16.9,15.3,14.9,14.5,14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,134,65,1.73,0.0686,4.17,1.6,1.73,1.73,112,2020-06-03 14:49:00,2020-06-08 05:37:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,TRUE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-03,"m i",205,372,2185,2189
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:4.T:Disc.R:1.R2:.T:2020-03-06 15:05:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","4",1,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.66,2020-03-06 15:05:00,2020-03-06 15:05:00,"os",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,7,"None",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","Disc","Wind tunnel",NA,"6/3/2020 15:05","6/3/2020 15:05","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:4.T:Disc.R:1.R2:.T:2020-03-06 15:05:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,13.2,15.9,20.4,24.9,29,31,32.5,NA,33.2,33.2,NA,13.2,15.9,20.4,24.9,29,31,32.5,NA,33.2,33.2,NA,0.218,0.262,0.336,0.41,0.477,0.51,0.535,NA,0.547,0.547,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.7,21,17.7,14.6,13.3,12.5,12.2,12,12,NA,23.4,21.7,19.2,16.8,15.3,14.8,14.5,14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,199,65,1.73,0.074,4.5,1.6,1.73,1.73,112,2020-06-03 15:05:00,2020-06-08 05:53:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2020-06-03,"m i",205,372,2186,2190
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:5.T:BomechAcid.R:2.R2:.T:2020-03-06 15:13:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","5",2,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.3,2020-03-06 15:13:00,2020-03-06 15:13:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,8,"Acidification",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","BomechAcid","Wind tunnel",NA,"6/3/2020 15:13","6/3/2020 15:13","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:5.T:BomechAcid.R:2.R2:.T:2020-03-06 15:13:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,11.6,14.7,20.1,25.2,29.9,32.4,34.3,NA,35.2,35.2,NA,11.6,14.7,20.1,25.2,29.9,32.4,34.3,NA,35.2,35.2,NA,0.191,0.243,0.33,0.415,0.492,0.533,0.564,NA,0.579,0.579,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.6,20.6,17.5,14.5,13.2,12.4,12.2,12,12,NA,23.4,21.7,19.2,16.8,15.3,14.8,14.5,14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,264,65,1.73,0.0558,3.39,1.6,1.73,1.73,112,2020-06-03 15:13:00,2020-06-08 06:01:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,TRUE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-03,"m i",205,372,2187,2191
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:6.T:Disc.R:2.R2:.T:2020-03-06 15:21:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","6",2,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.66,2020-03-06 15:21:00,2020-03-06 15:21:00,"os",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,9,"None",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","Disc","Wind tunnel",NA,"6/3/2020 15:21","6/3/2020 15:21","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:6.T:Disc.R:2.R2:.T:2020-03-06 15:21:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,11.9,14.7,19.4,24.7,29.1,31.5,33.3,NA,34.1,34.1,NA,11.9,14.7,19.4,24.7,29.1,31.5,33.3,NA,34.1,34.1,NA,0.196,0.243,0.319,0.407,0.48,0.518,0.548,NA,0.562,0.562,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.5,20.2,17.3,14.3,13.2,12.4,12.2,12,12,NA,21.7,20.5,18.6,16.5,15.1,14.7,14.4,14.3,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,329,65,1.73,0.063,3.83,1.6,1.73,1.73,112,2020-06-03 15:21:00,2020-06-08 06:09:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2020-06-03,"m i",205,372,2188,2192
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:8.T:Bomech.R:2.R2:.T:2020-03-06 15:37:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","8",2,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.66,2020-03-06 15:37:00,2020-03-06 15:37:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,10,"None",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","Bomech","Wind tunnel",NA,"6/3/2020 15:37","6/3/2020 15:37","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:8.T:Bomech.R:2.R2:.T:2020-03-06 15:37:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,16.6,20.5,26.9,32.9,37.3,39.2,40.7,NA,41.4,41.4,NA,16.6,20.5,26.9,32.9,37.3,39.2,40.7,NA,41.4,41.4,NA,0.274,0.338,0.443,0.542,0.614,0.645,0.669,NA,0.681,0.681,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.4,19.7,17,14.2,13.1,12.3,12.2,11.9,11.9,NA,18.8,18.5,17.5,16,14.9,14.6,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,394,65,1.73,0.0907,5.51,1.6,1.73,1.73,112,2020-06-03 15:37:00,2020-06-08 06:25:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-03,"m i",205,372,2189,2193
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:9.T:Disc.R:3.R2:.T:2020-03-06 15:45:00.M:Wind tunnelNA","C","NUGA","20C","Holstebro1","9",3,0.2,56.4,8.89,"DK","Flat",NA,NA,NA,NA,"Sand",0.1,NA,NA,5.94,1.27,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.89,NA,3.51,2.43,NA,NA,NA,7.66,2020-03-06 15:45:00,2020-03-06 15:45:00,"os",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,11,"None",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","Disc","Wind tunnel",NA,"6/3/2020 15:45","6/3/2020 15:45","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20C.F:Holstebro1.P:9.T:Disc.R:3.R2:.T:2020-03-06 15:45:00","D:1.I:AU.Pr:NUGA.E:20C","m i","Pedersen, Johanna",60.8,NA,11.2,13.9,18.7,23.7,28,29.9,31.5,NA,32.3,32.3,NA,11.2,13.9,18.7,23.7,28,29.9,31.5,NA,32.3,32.3,NA,0.184,0.229,0.308,0.391,0.462,0.492,0.519,NA,0.532,0.532,NA,0,0,0,0,0,0,0,NA,0,0,NA,21.6,19.8,17.1,14.2,13.1,12.3,12.2,12,12,NA,18.8,18.5,17.5,16,14.9,14.6,14.3,14.2,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395,459,65,1.73,0.0617,3.75,1.6,1.73,1.73,112,2020-06-03 15:45:00,2020-06-08 06:33:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,FALSE,"Wind tunnel","wt","Grass","Cattle","Open slot injection","os","None",2020-06-03,"m i",205,372,2190,2194
"AU","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20D.F:Holstebro2.P:1.T:BomechAcid.R:1.R2:.T:2020-09-06 13:45:00.M:Wind tunnelNA","C","NUGA","20D","Holstebro2","1",1,0.2,56.4,8.87,"DK","Flat",NA,NA,NA,NA,"Sand",0.18,NA,NA,6.01,1.39,"Yes","No","cat",NA,"Straw","Slurry","Anaerobic digestion","Mechanical separation",NA,5.92,NA,3.6,2.43,NA,NA,NA,7.28,2020-09-06 13:45:00,2020-09-06 13:45:00,"ts",25,"t/ha","none",NA,NA,NA,NA,NA,"grass",NA,NA,NA,NA,14,"Acidification",3,"../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx","BomechAcid","Wind tunnel",NA,"6/9/2020 13:45","6/9/2020 13:45","D:1.I:AU.Pr:NUGA.F:../../data-submitted/03/AU/ALFAM2_template_6_0_220126_JP_20CD21A_JP.xlsx.E:20D.F:Holstebro2.P:1.T:BomechAcid.R:1.R2:.T:2020-09-06 13:45:00","D:1.I:AU.Pr:NUGA.E:20D","m i","Pedersen, Johanna",60.8,NA,8.59,12.4,16.9,20.8,24.7,26.7,27.9,NA,29.1,29.1,NA,8.59,12.4,16.9,20.8,24.7,26.7,27.9,NA,29.1,29.1,NA,0.141,0.204,0.279,0.342,0.406,0.44,0.46,NA,0.479,0.479,NA,0,0,0,0,0,0,0,NA,0,0,NA,13.8,13.8,12.9,11.3,13.6,15.4,16,16.4,16.4,NA,15.6,15.7,15.7,14.8,15.3,15.8,16.1,16.5,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,669,80,1.73,0.0242,1.47,0.27,1.73,1.73,137,2020-06-09 13:45:00,2020-06-15 04:49:00,"2","0.05",NA,NA,NA,"Pedersen, J., Nyord, T., Feilberg, A., & Labouriau, R. (2021). Analysis of the effect of air temperature on ammonia emission from band application of slurry. Environmental Pollution, 282, 1–25. https://doi.org/10.1016/j.envpol.2021.117055",NA,NA,NA,TRUE,"Wind tunnel","wt","Grass","Cattle","Trailing shoe","ts","None",2020-06-09,"m i",205,373,2191,2195
