"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
2262,2266,58205,5,1,2019-05-15 16:48:00,2019-05-15 18:32:00,"15-05-2019 16:48","15-05-2019 16:48",1.73,1.73,-0.00333,1.73,0.865,1.73,0,NA,0.0618,"ppm",NA,NA,NA,NA,NA,0.441,0.0124,0.763,0.763,0.0214,14.2,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,".",""
2262,2266,58206,6,2,2019-05-15 18:32:00,2019-05-15 20:16:00,"15-05-2019 18:32","15-05-2019 18:32",1.73,1.73,-0.00333,3.46,2.6,3.47,1.73,NA,0.0664,"ppm",NA,NA,NA,NA,NA,0.353,0.00991,0.611,1.37,0.0385,14.9,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58207,7,3,2019-05-15 20:16:00,2019-05-15 22:00:00,"15-05-2019 20:16","15-05-2019 20:16",1.73,1.73,-0.00333,5.19,4.32,5.2,3.47,NA,0.0406,"ppm",NA,NA,NA,NA,NA,0.241,0.00677,0.418,1.79,0.0503,13.6,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58208,8,4,2019-05-15 22:00:00,2019-05-15 23:44:00,"15-05-2019 22:00","15-05-2019 22:00",1.73,1.73,-0.00333,6.92,6.06,6.93,5.2,NA,0.0314,"ppm",NA,NA,NA,NA,NA,0.191,0.00535,0.33,2.12,0.0595,10.7,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58209,9,5,2019-05-15 23:44:00,2019-05-16 01:28:00,"15-05-2019 23:44","15-05-2019 23:44",1.73,1.73,-0.00333,8.65,7.78,8.67,6.93,NA,0.0597,"ppm",NA,NA,NA,NA,NA,0.082,0.0023,0.142,2.26,0.0635,8.58,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58210,10,6,2019-05-16 01:28:00,2019-05-16 03:12:00,"16-05-2019 01:28","16-05-2019 01:28",1.73,1.73,-0.00333,10.4,9.52,10.4,8.67,NA,0.0227,"ppm",NA,NA,NA,NA,NA,0.063,0.00177,0.109,2.37,0.0666,7.4,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58211,11,7,2019-05-16 03:12:00,2019-05-16 04:56:00,"16-05-2019 03:12","16-05-2019 03:12",1.73,1.73,-0.00333,12.1,11.2,12.1,10.4,NA,0.0186,"ppm",NA,NA,NA,NA,NA,0.0944,0.00265,0.163,2.54,0.0711,6.04,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58212,12,8,2019-05-16 04:56:00,2019-05-16 06:40:00,"16-05-2019 04:56","16-05-2019 04:56",1.73,1.73,-0.00333,13.8,13,13.9,12.1,NA,0.0165,"ppm",NA,NA,NA,NA,NA,0.0777,0.00218,0.134,2.67,0.0749,5.5,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58213,13,9,2019-05-16 06:40:00,2019-05-16 08:24:00,"16-05-2019 06:40","16-05-2019 06:40",1.73,1.73,-0.00333,15.6,14.7,15.6,13.9,NA,0.0241,"ppm",NA,NA,NA,NA,NA,0.0726,0.00204,0.126,2.8,0.0784,7.49,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58214,14,10,2019-05-16 08:24:00,2019-05-16 10:08:00,"16-05-2019 08:24","16-05-2019 08:24",1.73,1.73,-0.00333,17.3,16.4,17.3,15.6,NA,0.0275,"ppm",NA,NA,NA,NA,NA,0.0886,0.00249,0.153,2.95,0.0827,12.2,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58215,15,11,2019-05-16 10:08:00,2019-05-16 11:52:00,"16-05-2019 10:08","16-05-2019 10:08",1.73,1.73,-0.00333,19,18.2,19.1,17.3,NA,0.0274,"ppm",NA,NA,NA,NA,NA,0.0886,0.00248,0.153,3.1,0.087,13.7,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58216,16,12,2019-05-16 11:52:00,2019-05-16 13:36:00,"16-05-2019 11:52","16-05-2019 11:52",1.73,1.73,-0.00333,20.8,19.9,20.8,19.1,NA,0.0304,"ppm",NA,NA,NA,NA,NA,0.0766,0.00215,0.132,3.24,0.0907,15.4,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58217,17,13,2019-05-16 13:36:00,2019-05-16 15:20:00,"16-05-2019 13:36","16-05-2019 13:36",1.73,1.73,-0.00333,22.5,21.6,22.5,20.8,NA,0.0281,"ppm",NA,NA,NA,NA,NA,0.0798,0.00224,0.138,3.37,0.0946,16.2,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58218,18,14,2019-05-16 15:20:00,2019-05-16 17:04:00,"16-05-2019 15:20","16-05-2019 15:20",1.73,1.73,-0.00333,24.2,23.4,24.3,22.5,NA,0.0246,"ppm",NA,NA,NA,NA,NA,0.0724,0.00203,0.125,3.5,0.0981,17.5,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58219,19,15,2019-05-16 17:04:00,2019-05-16 18:48:00,"16-05-2019 17:04","16-05-2019 17:04",1.73,1.73,-0.00333,26,25.1,26,24.3,NA,0.0195,"ppm",NA,NA,NA,NA,NA,0.0664,0.00186,0.115,3.61,0.101,19,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58220,20,16,2019-05-16 18:48:00,2019-05-16 20:32:00,"16-05-2019 18:48","16-05-2019 18:48",1.73,1.73,-0.00333,27.7,26.8,27.7,26,NA,0.0184,"ppm",NA,NA,NA,NA,NA,0.0608,0.00171,0.105,3.72,0.104,17.7,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58221,21,17,2019-05-16 20:32:00,2019-05-16 22:16:00,"16-05-2019 20:32","16-05-2019 20:32",1.73,1.73,-0.00333,29.4,28.5,29.5,27.7,NA,0.018,"ppm",NA,NA,NA,NA,NA,0.0545,0.00153,0.0943,3.81,0.107,16.8,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58222,22,18,2019-05-16 22:16:00,2019-05-17 00:00:00,"16-05-2019 22:16","16-05-2019 22:16",1.73,1.73,-0.00333,31.1,30.3,31.2,29.5,NA,0.017,"ppm",NA,NA,NA,NA,NA,0.0514,0.00144,0.089,3.9,0.109,13.3,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58223,23,19,2019-05-17 00:00:00,2019-05-17 01:44:00,"17-05-2019 00:00","17-05-2019 00:00",1.73,1.73,-0.00333,32.9,32,32.9,31.2,NA,0.0154,"ppm",NA,NA,NA,NA,NA,0.0471,0.00132,0.0815,3.98,0.112,11.6,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58224,24,20,2019-05-17 01:44:00,2019-05-17 03:28:00,"17-05-2019 01:44","17-05-2019 01:44",1.73,1.73,-0.00333,34.6,33.7,34.7,32.9,NA,0.0144,"ppm",NA,NA,NA,NA,NA,0.0407,0.00114,0.0705,4.05,0.114,9.42,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58225,25,21,2019-05-17 03:28:00,2019-05-17 05:12:00,"17-05-2019 03:28","17-05-2019 03:28",1.73,1.73,-0.00333,36.3,35.5,36.4,34.7,NA,0.0136,"ppm",NA,NA,NA,NA,NA,0.036,0.00101,0.0622,4.12,0.115,10.2,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58226,26,22,2019-05-17 05:12:00,2019-05-17 06:56:00,"17-05-2019 05:12","17-05-2019 05:12",1.73,1.73,-0.00333,38.1,37.2,38.1,36.4,NA,0.0131,"ppm",NA,NA,NA,NA,NA,0.0344,0.000966,0.0596,4.18,0.117,10.2,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58227,27,23,2019-05-17 06:56:00,2019-05-17 08:40:00,"17-05-2019 06:56","17-05-2019 06:56",1.73,1.73,-0.00333,39.8,38.9,39.9,38.1,NA,0.0123,"ppm",NA,NA,NA,NA,NA,0.0347,0.000972,0.06,4.24,0.119,10.5,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58228,28,24,2019-05-17 08:40:00,2019-05-17 10:24:00,"17-05-2019 08:40","17-05-2019 08:40",1.73,1.73,-0.00333,41.5,40.7,41.6,39.9,NA,0.0118,"ppm",NA,NA,NA,NA,NA,0.0326,0.000916,0.0565,4.29,0.12,8.61,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58229,29,25,2019-05-17 10:24:00,2019-05-17 12:08:00,"17-05-2019 10:24","17-05-2019 10:24",1.73,1.73,-0.00333,43.2,42.4,43.3,41.6,NA,0.0125,"ppm",NA,NA,NA,NA,NA,0.0288,0.000809,0.0499,4.34,0.122,9.26,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58230,30,26,2019-05-17 12:08:00,2019-05-17 13:52:00,"17-05-2019 12:08","17-05-2019 12:08",1.73,1.73,-0.00333,45,44.1,45.1,43.3,NA,0.0132,"ppm",NA,NA,NA,NA,NA,0.0356,0.000999,0.0616,4.4,0.124,11.2,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58231,31,27,2019-05-17 13:52:00,2019-05-17 15:36:00,"17-05-2019 13:52","17-05-2019 13:52",1.73,1.73,-0.00333,46.7,45.8,46.8,45.1,NA,0.013,"ppm",NA,NA,NA,NA,NA,0.0369,0.00104,0.0638,4.47,0.125,10.3,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
2262,2266,58232,32,28,2019-05-17 15:36:00,2019-05-17 17:20:00,"17-05-2019 15:36","17-05-2019 15:36",1.73,1.73,-0.00333,48.4,47.6,48.5,46.8,NA,0.013,"ppm",NA,NA,NA,NA,NA,0.0325,0.000911,0.0562,4.52,0.127,10.7,NA,NA,NA,NA,0.33,0.543,NA,"2",0.25,NA,NA,0,0,0,NA,NA,""
