"pid","pmid","oid","row.in.file.int","interval","t.start","t.end","t.start.orig","t.end.orig","dt","dt.calc","dt.diff","ct","mt","cta","bta","bg.dl","bg.val","bg.unit","MOL","ustar","rl","air.pres","air.pres.unit","j.NH3","j.rel","e.int","e.cum","e.rel","air.temp","soil.temp","soil.temp.surf","pH.surf","rad","wind","wind.2m","soil.temp.z.int","air.temp.z.int","wind.z.int","wind.loc.int","far.loc.int","rain","rain.rate","rain.cum","rh","notes.int","flag.int"
2133,2137,47082,5,1,2018-08-29 14:43:00,2018-08-29 16:27:00,"29-08-2018 14:43","29-08-2018 14:43",1.73,1.73,-0.00333,1.73,0.865,1.73,0,NA,0.0207,"ppm",NA,NA,NA,NA,NA,0.669,0.0111,1.16,1.16,0.0192,19,15,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,".",""
2133,2137,47083,6,2,2018-08-29 16:27:00,2018-08-29 18:11:00,"29-08-2018 16:27","29-08-2018 16:27",1.73,1.73,-0.00333,3.46,2.6,3.47,1.73,NA,0.0341,"ppm",NA,NA,NA,NA,NA,1.04,0.0173,1.81,2.96,0.0491,19.6,15.6,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47084,7,3,2018-08-29 18:11:00,2018-08-29 19:55:00,"29-08-2018 18:11","29-08-2018 18:11",1.73,1.73,-0.00333,5.19,4.32,5.2,3.47,NA,0.0308,"ppm",NA,NA,NA,NA,NA,0.855,0.0142,1.48,4.44,0.0737,19.2,15.8,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47085,8,4,2018-08-29 19:55:00,2018-08-29 21:39:00,"29-08-2018 19:55","29-08-2018 19:55",1.73,1.73,-0.00333,6.92,6.06,6.93,5.2,NA,0.0335,"ppm",NA,NA,NA,NA,NA,0.618,0.0102,1.07,5.51,0.0914,17.2,15.6,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47086,9,5,2018-08-29 21:39:00,2018-08-29 23:23:00,"29-08-2018 21:39","29-08-2018 21:39",1.73,1.73,-0.00333,8.65,7.78,8.67,6.93,NA,0.0308,"ppm",NA,NA,NA,NA,NA,0.432,0.00717,0.748,6.26,0.104,16.3,15.4,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47087,10,6,2018-08-29 23:23:00,2018-08-30 01:07:00,"29-08-2018 23:23","29-08-2018 23:23",1.73,1.73,-0.00333,10.4,9.52,10.4,8.67,NA,0.0277,"ppm",NA,NA,NA,NA,NA,0.267,0.00443,0.462,6.72,0.111,15.8,15.2,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47088,11,7,2018-08-30 01:07:00,2018-08-30 02:51:00,"30-08-2018 01:07","30-08-2018 01:07",1.73,1.73,-0.00333,12.1,11.2,12.1,10.4,NA,0.0246,"ppm",NA,NA,NA,NA,NA,0.159,0.00264,0.275,7,0.116,15.4,15.1,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47089,12,8,2018-08-30 02:51:00,2018-08-30 04:35:00,"30-08-2018 02:51","30-08-2018 02:51",1.73,1.73,-0.00333,13.8,13,13.9,12.1,NA,0.0235,"ppm",NA,NA,NA,NA,NA,0.116,0.00192,0.201,7.2,0.119,14.9,15,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47090,13,9,2018-08-30 04:35:00,2018-08-30 06:19:00,"30-08-2018 04:35","30-08-2018 04:35",1.73,1.73,-0.00333,15.6,14.7,15.6,13.9,NA,0.022,"ppm",NA,NA,NA,NA,NA,0.0891,0.00148,0.154,7.35,0.122,14.7,14.9,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
2133,2137,47091,14,10,2018-08-30 06:19:00,2018-08-30 08:03:00,"30-08-2018 06:19","30-08-2018 06:19",1.73,1.73,-0.00333,17.3,16.4,17.3,15.6,NA,0.0218,"ppm",NA,NA,NA,NA,NA,0.0696,0.00115,0.12,7.47,0.124,14.6,14.8,NA,NA,NA,0.33,NA,"0.05","2",NA,NA,NA,0,0,0,NA,NA,""
